Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
7,Ruslan,Pedan,1184,3770,D,AMK,53,200000,0,No,16.11.1994,??????,Lithuania,Russia,0,0,11943,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
8,Gleb,Koryagin,3006,3334,D,AMK,55,200000,1,No,06.08.1994,??????,Russia,Russia,0,0,14705,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
9,Rafael,Batyrshin,2833,3115,D,AMK,57,400000,1,No,26.08.1986,??????,Russia,Russia,0,0,14275,0,0,White,Not Tucked In,No,Yes,Bauer,TPS (Louisville) Red-lite,Bauer Vapor XXX
10,Cam,Lee,6337,5674,D,AMK,77,0,0,No,18.02.1997,"",Canada,Canada,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
11,Ilya,Dervuk,3929,331,D,AMK,79,50000,1,Yes,09.07.1996,????,Russia,Russia,0,0,14650,0,0,White,Not Tucked In,No,Yes,CCM,TPS (Louisville) Red-lite,Nike
12,Alexander,Gopiyenko,2025,3947,D,AMK,82,100000,0,Yes,17.05.2000,"",Russia,Russia,0,0,1652,0,0,White,Not Tucked In,No,Yes,Itech,Bauer Vapor XX,Graf
13,Nikita D.,Alexandrov,1894,4576,D,AMK*,0,100000,0,Yes,18.05.1999,"",Russia,Russia,0,0,7006,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Classic X,Bauer Vapor XXX
14,Yegor,Zhuravlyov,2622,2858,D,AMK*,5,100000,0,No,12.04.1990,?????? ?????,Russia,Russia,0,0,14665,0,0,White,Not Tucked In,No,Yes,Nike,Easton Classic X,Bauer Vapor XXX
15,Ildar,Isangulov,2336,2303,D,AMK*,6,100000,1,No,20.05.1992,???,Russia,Russia,0,0,16378,16378,16378,Pale,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Easton
16,Valery S.,Vasilyev,1549,1705,D,AMK*,6,150000,1,No,31.05.1994,??????,Russia,Russia,2012,201,14767,11495,11495,Pale,Not Tucked In,No,Yes,Jofa,TPS (Louisville) Red-lite,CCM
17,Ilya,Gorokhov,5743,3332,D,AMK*,6,700000,0,No,23.08.1977,?????????,Russia,Russia,1995,195,9191,11157,11157,White,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Bauer 8090
18,Dmitry,Shvidenko,797,1447,D,AMK*,7,100000,0,No,13.10.1992,?????,Ukraine,Russia,0,0,14594,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
19,Dmitry,Molodtsov,1239,3447,D,AMK*,7,500000,1,No,26.01.1989,St.Peterburg,Russia,Russia,0,0,11911,0,0,Pale,Not Tucked In,No,Yes,Jofa,Sher-Wood Solid Gold,Graf
20,Dmitry,Kosmachyov,4739,2367,D,AMK*,12,400000,0,No,07.06.1985,?????? ????????,Russia,Russia,2003,71,8183,11238,11238,White,Not Tucked In,No,Yes,Itech,Sher-Wood Solid Gold,Graf
21,Marek,Hrbas,1415,3206,D,AMK*,23,400000,0,Yes,04.03.1993,"",Czech Republic,Czech Republic,0,0,7090,0,0,White,Not Tucked In,No,Yes,Nike,Easton Classic X,Bauer 8090
22,Dominik,Masin,1732,2991,D,AMK*,27,300000,1,Yes,01.02.1996,"",Czech Republic,Czech Republic,0,0,2240,0,0,Pale,Not Tucked In,No,Yes,Itech,TPS (Louisville) Red-lite,Bauer Vapor XXX
23,Erik,Gustafsson,4322,3546,D,AMK*,28,900000,0,No,15.12.1988,??????????,Sweden,Sweden,0,0,12706,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
24,Ilya,Dekalo,4965,3178,D,AMK*,29,400000,0,No,05.02.1993,?????????,Russia,Russia,0,0,13552,0,0,White,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,CCM
25,Jan,Kolar,2832,2604,D,AMK*,29,500000,1,No,22.11.1986,?????????,Czech Republic,Czech Republic,0,0,5871,9520,9520,White,Not Tucked In,No,Yes,CCM,Easton Synergy,CCM
26,Nikita,Zimin,1292,574,D,AMK*,39,100000,1,Yes,09.08.2000,"",Russia,Russia,0,0,1648,0,0,Pale,Not Tucked In,No,Yes,Itech,Easton Classic X,Nike
27,Pavel,Volodin,403,2180,D,AMK*,45,200000,0,Yes,19.02.1989,???,Russia,Russia,0,0,14246,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
28,Alexander,Igoshev,1957,4302,D,AMK*,60,100000,1,Yes,12.09.1997,Magnitogorsk,Russia,Russia,0,0,16138,0,0,White,Not Tucked In,No,Yes,Jofa,Easton Synergy,Easton
29,Viktor,Tereshchenko,5602,3788,D,AMK*,84,200000,1,No,22.04.1995,????????,Russia,Russia,0,0,13554,11468,11468,White,Not Tucked In,No,Yes,Jofa,Easton Classic X,Nike
30,Yegor,Kozhokin,2777,1746,D,AMK*,88,75000,1,Yes,14.11.1994,??????,Russia,Russia,0,0,13599,0,0,Pale,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Bauer Vapor XXX
?Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Dmitry,Alexeyev,3756,4344,D,AVG,0,100000,1,Yes,17.02.1998,?????????,Russia,Russia,0,0,16139,11031,11031,White,Not Tucked In,No,Yes,Jofa,TPS (Louisville) Red-lite,Bauer Vapor XXX
2,Alexei,Bereglazov,2417,1487,D,AVG,5,400000,0,No,20.04.1994,????????????,Russia,Russia,0,0,14728,0,0,White,Back,No,Yes,CCM,Sher-Wood Solid Gold,CCM
3,Damir,Sharipzyanov,3563,2003,D,AVG,44,500000,1,No,17.02.1996,Nizhnekamsk,Russia,Russia,0,0,11081,0,0,White,Not Tucked In,No,Yes,Jofa,CCM Vector V110,Nike
4,Bogdan,Kiselevich,5083,2424,D,AVG,55,900000,1,No,14.02.1990,Cherepovets,Russia,Russia,0,0,14313,0,0,White,Not Tucked In,No,Yes,Bauer,Sher-Wood Solid Gold,Easton
5,Viktor,Svedberg,4970,2332,D,AVG,58,400000,0,No,24.05.1991,Gothenburg,Sweden,Sweden,0,0,13535,0,0,Pale,Not Tucked In,No,Yes,Bauer,Easton Synergy,Nike
6,Semyon,Chistyakov,1133,3343,D,AVG,66,100000,1,Yes,07.08.2001,?????? ?????,Russia,Russia,2019,117,1644,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
7,Fyodor,Belyakov,1567,3748,D,AVG,70,200000,1,No,10.04.1993,??????,Russia,Russia,0,0,14569,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
8,Ziyat,Paigin,2303,3786,D,AVG,75,100000,0,No,08.02.1995,????????,Russia,Russia,2015,209,13558,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Synergy,Graf
9,Anton,Belov,4285,4079,D,AVG,77,1100000,0,No,26.07.1986,??????,Russia,Russia,0,0,14016,11059,11059,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
10,Mikhail,Gulyaev,6334,5671,D,AVG,84,0,0,No,26.04.2005,"",Russia,Russia,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
11,Bogdan,Denisevich,5139,4745,D,AVG*,0,100000,1,Yes,17.08.1999,??????,Russia,Russia,0,0,2779,0,0,Pale,Not Tucked In,No,Yes,Jofa,Easton Synergy,CCM
12,Kirill,Spitsenko,5792,1581,D,AVG*,0,100000,1,Yes,29.11.1999,"",Russia,Russia,0,0,1787,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
13,Sergei,Orlov,2577,2974,D,AVG*,22,100000,0,Yes,01.06.1998,"",Russia,Russia,0,0,16149,0,0,Pale,Not Tucked In,No,Yes,Nike,TPS (Louisville) Red-lite,Bauer Vapor XXX
14,Ville,Pokka,3747,4225,D,AVG*,22,400000,0,No,03.06.1994,Tornio,Finland,Finland,2012,34,10935,0,0,White,Not Tucked In,No,Yes,Bauer,Bauer Vapor XX,Bauer Vapor XXX
15,Christian,Jaros,2261,4273,D,AVG*,48,800000,0,Yes,02.04.1996,Kosice,Slovakia,Slovakia,2015,139,10992,0,0,White,Not Tucked In,No,Yes,Jofa,Easton Synergy,Graf
16,Evgeny,Nazarkin,3187,1419,D,AVG*,61,100000,1,Yes,21.10.1996,?????????,Russia,Russia,0,0,10646,0,0,White,Not Tucked In,No,Yes,Jofa,Bauer Vapor XX,Easton
17,Oliwer,Kaski,340,1721,D,AVG*,67,800000,1,Yes,04.09.1995,Pori,Finland,Finland,0,0,1642,0,0,White,Not Tucked In,No,Yes,Nike,TPS (Louisville) Red-lite,Bauer Vapor XXX
18,Timofey,Davydov,6332,5669,D,AVG*,75,0,0,No,01.06.2002,"",Russia,Russia,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
19,Vladislav,Pashuto,6128,5466,D,AVG*,78,0,0,No,09.02.2004,"",Belarus,Belarus,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
20,Danil,Shchyokin,3136,4746,D,AVG*,98,100000,0,Yes,13.06.1998,"",Russia,Russia,0,0,2777,0,0,Pale,Not Tucked In,No,Yes,Jofa,Easton Classic X,Bauer Vapor XXX
?Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Sergei,Zborovsky,1689,1052,D,ING,2,200000,0,No,21.02.1997,??????,Russia,Russia,2015,79,7039,0,0,White,Not Tucked In,No,Yes,Bauer,Bauer Vapor XX,Bauer 8090
2,Valery,Sitnikov,3130,1417,D,ING,5,100000,0,Yes,13.04.2002,"",Russia,Russia,0,0,15144,0,0,Pale,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,Bauer Vapor XXX
3,Denis,Barantsev,2293,2236,D,ING,8,400000,1,No,12.04.1992,????????,Russia,Russia,0,0,13395,0,0,White,Not Tucked In,No,Yes,Jofa,TPS (Louisville) Red-lite,Nike
4,Jesse,Blacker,4519,3486,D,ING,9,400000,0,No,19.04.1991,Toronto,Ontario,Canada,2009,58,2907,0,0,White,Not Tucked In,No,Yes,Bauer,Easton Classic X,Bauer Vapor XXX
5,Yefim,Gurkin,1560,2246,D,ING,49,400000,1,No,13.11.1992,???,Russia,Russia,0,0,14464,0,0,Pale,Not Tucked In,No,Yes,Bauer,Bauer Vapor XX,Bauer Vapor XXX
6,Alexander,Shchemerov,1730,3919,D,ING,50,200000,0,Yes,02.06.1997,????????????,Russia,Russia,0,0,10581,0,0,Pale,Not Tucked In,No,Yes,Nike,CCM Vector V110,Nike
7,Nick,Ebert,246,4463,D,ING,74,1500000,0,Yes,11.05.1994,Red Bank,New Jersey,USA,2012,211,9770,0,0,White,Not Tucked In,No,Yes,Jofa,Easton Classic X,Nike
8,Nikita,Tryamkin,2647,1182,D,ING,88,300000,2,No,30.08.1994,????????????,Russia,Russia,2014,66,14499,0,0,White,Not Tucked In,No,Yes,Bauer,Easton Synergy,Bauer Vapor XXX
9,Alexei A.,Vasilevsky,288,1911,D,ING,93,500000,1,No,21.01.1993,??????,Russia,Russia,0,0,14575,0,0,Pale,Not Tucked In,No,Yes,Bauer,Bauer Vapor XX,Bauer Vapor XXX
10,Vladislav,Leontyev,4694,601,D,ING*,0,100000,0,Yes,06.06.2000,"",Russia,Russia,0,0,1769,0,0,Pale,Not Tucked In,No,Yes,Jofa,Bauer Vapor XX,CCM
11,Stepan,Ostrovsky,606,945,D,ING*,0,100000,0,Yes,20.09.2000,"",Russia,Russia,0,0,1705,0,0,Pale,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Bauer Vapor XXX
12,Daniil,Valitov,5191,4574,D,ING*,0,100000,1,Yes,09.06.2000,"",Russia,Russia,0,0,7008,0,0,Pale,Not Tucked In,No,Yes,Jofa,TPS (Louisville) Red-lite,Bauer Vapor XXX
13,Stanislav,Yegorshev,413,4334,D,ING*,2,500000,0,No,21.09.1987,?????????,Russia,Russia,0,0,14252,14252,14252,Pale,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Easton
14,Korbinian,Holzer,4316,2203,D,ING*,7,1100000,0,No,16.02.1988,Munich,Germany,Germany,2006,111,7792,0,0,Pale,Not Tucked In,No,Yes,Jofa,Easton Synergy,CCM
15,Yakov,Rylov,5581,2970,D,ING*,36,700000,1,No,15.01.1985,??????-??????,Russia,Russia,0,0,9031,11401,11401,Pale,Back,No,Yes,Nike,Easton Synergy,Bauer Vapor XXX
16,Semyon,Mirochnikov,1035,4573,D,ING*,41,100000,0,Yes,16.12.1999,"",Russia,Russia,0,0,7095,0,0,Pale,Not Tucked In,No,Yes,Itech,TPS (Louisville) Red-lite,Bauer Vapor XXX
17,Ilya,Antonovsky,326,1315,D,ING*,50,300000,0,No,03.07.1989,??????,Russia,Russia,0,0,9478,0,0,Pale,Back,No,Yes,Nike,CCM Vector V110,Bauer Vapor XXX
18,Semyon,Perelyayev,1764,4437,D,ING*,53,100000,1,No,24.08.1999,Togliatti,Russia,Russia,0,0,11774,0,0,Pale,Not Tucked In,No,Yes,Bauer,Easton Classic X,Bauer Vapor XXX
19,Ivan,Teterin,1360,3260,D,ING*,70,100000,1,Yes,02.12.1995,??????,Russia,Russia,0,0,14662,0,0,White,Not Tucked In,No,Yes,CCM,TPS (Louisville) Red-lite,CCM
20,Daniil L.,Zaitsev,279,4790,D,ING*,75,100000,1,Yes,11.10.2001,"",Russia,Russia,0,0,1819,0,0,White,Not Tucked In,No,Yes,Bauer,Sher-Wood Solid Gold,Bauer Vapor XXX
21,Daniil,Karpovich,6127,5465,D,ING*,80,0,0,No,06.12.2004,"",Belarus,Belarus,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
22,Denis,Kulyash,5576,2947,D,ING*,82,1200000,1,No,31.05.1983,????,Russia,Russia,2004,243,9026,11263,11263,Pale,Not Tucked In,No,Yes,Nike,TPS (Louisville) Red-lite,Bauer Vapor XXX
23,Stanislav,Gareyev,4881,1001,D,ING*,94,400000,1,No,13.08.1994,???????,Russia,Russia,0,0,10570,0,0,White,Not Tucked In,No,Yes,Bauer,Easton Classic X,Easton
?Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Yegor,Shalapov,3633,3762,D,KEV,4,100000,0,No,27.01.1995,"",Russia,Russia,0,0,16105,0,0,White,Not Tucked In,No,Yes,CCM,CCM Vector V110,Nike
2,Dinmukhamed,Kayirzhan,6300,5637,D,KEV,13,0,0,No,27.06.2003,"",Kazakstan,Kazakstan,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
